Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","Kailh_socket_PG1350",36.000000,-51.000000,0.000000,top
"MX2","MX-NoLED","Kailh_socket_PG1350",54.000000,-42.500000,0.000000,top
"MX3","MX-NoLED","Kailh_socket_PG1350",72.000000,-34.000000,0.000000,top
"MX4","MX-NoLED","Kailh_socket_PG1350",90.000000,-34.000000,0.000000,top
"MX5","MX-NoLED","Kailh_socket_PG1350",108.000000,-34.000000,0.000000,top
"MX6","MX-NoLED","Kailh_socket_PG1350",36.000000,-68.000000,0.000000,top
"MX7","MX-NoLED","Kailh_socket_PG1350",54.000000,-59.500000,0.000000,top
"MX8","MX-NoLED","Kailh_socket_PG1350",72.000000,-51.000000,0.000000,top
"MX9","MX-NoLED","Kailh_socket_PG1350",90.000000,-51.000000,0.000000,top
"MX10","MX-NoLED","Kailh_socket_PG1350",108.000000,-51.000000,0.000000,top
"MX11","MX-NoLED","Kailh_socket_PG1350",36.000000,-85.000000,0.000000,top
"MX12","MX-NoLED","Kailh_socket_PG1350",54.000000,-76.500000,0.000000,top
"MX13","MX-NoLED","Kailh_socket_PG1350",72.000000,-68.000000,0.000000,top
"MX14","MX-NoLED","Kailh_socket_PG1350",90.000000,-68.000000,0.000000,top
"MX15","MX-NoLED","Kailh_socket_PG1350",108.000000,-68.000000,0.000000,top
"MX16","MX-NoLED","Kailh_socket_PG1350",72.000000,-85.000000,0.000000,top
"MX17","MX-NoLED","Kailh_socket_PG1350",90.000000,-85.000000,0.000000,top
"MX18","MX-NoLED","Kailh_socket_PG1350",108.000000,-85.000000,0.000000,top
"MX19","MX-NoLED","SW_PUSH_6mm",51.750000,-92.500000,90.000000,top
"MX20","MX-NoLED","Kailh_socket_PG1350",198.000000,-51.000000,0.000000,top
"MX21","MX-NoLED","Kailh_socket_PG1350",180.000000,-42.500000,0.000000,top
"MX22","MX-NoLED","Kailh_socket_PG1350",162.000000,-34.000000,0.000000,top
"MX23","MX-NoLED","Kailh_socket_PG1350",144.000000,-34.000000,0.000000,top
"MX24","MX-NoLED","Kailh_socket_PG1350",126.000000,-34.000000,0.000000,top
"MX25","MX-NoLED","Kailh_socket_PG1350",198.000000,-68.000000,0.000000,top
"MX26","MX-NoLED","Kailh_socket_PG1350",180.000000,-59.500000,0.000000,top
"MX27","MX-NoLED","Kailh_socket_PG1350",162.000000,-51.000000,0.000000,top
"MX28","MX-NoLED","Kailh_socket_PG1350",144.000000,-51.000000,0.000000,top
"MX29","MX-NoLED","Kailh_socket_PG1350",126.000000,-51.000000,0.000000,top
"MX30","MX-NoLED","Kailh_socket_PG1350",198.000000,-85.000000,0.000000,top
"MX31","MX-NoLED","Kailh_socket_PG1350",180.000000,-76.500000,0.000000,top
"MX32","MX-NoLED","Kailh_socket_PG1350",162.000000,-68.000000,0.000000,top
"MX33","MX-NoLED","Kailh_socket_PG1350",144.000000,-68.000000,0.000000,top
"MX34","MX-NoLED","Kailh_socket_PG1350",126.000000,-68.000000,0.000000,top
"MX35","MX-NoLED","Kailh_socket_PG1350",162.000000,-85.000000,0.000000,top
"MX36","MX-NoLED","Kailh_socket_PG1350",144.000000,-85.000000,0.000000,top
"MX37","MX-NoLED","Kailh_socket_PG1350",126.000000,-85.000000,0.000000,top
"MX38","MX-NoLED","SW_PUSH_6mm",182.250000,-86.000000,-90.000000,top
